example_id                                                                                 | status  | run_time        |
./spec/models/provider_spec.rb[1:3]                                                        | passed  | 0.07642 seconds |
./spec/models/tax_spec.rb[1:1:1:1]                                                         | passed  | 0.06927 seconds |
./spec/models/tax_spec.rb[1:1:2]                                                           | passed  | 0.06404 seconds |
./spec/models/tax_spec.rb[1:1:3]                                                           | passed  | 0.06898 seconds |
./spec/models/tax_spec.rb[1:1:4]                                                           | passed  | 0.11376 seconds |
./spec/models/tax_spec.rb[1:1:5:1:1]                                                       | passed  | 0.06992 seconds |
./spec/models/tax_spec.rb[1:1:5:2:1]                                                       | passed  | 0.06823 seconds |
./spec/models/tax_spec.rb[1:1:5:3:1]                                                       | passed  | 0.07336 seconds |
./spec/models/tax_spec.rb[1:1:5:4:1]                                                       | passed  | 0.06857 seconds |
./spec/models/translation_spec.rb[1:1]                                                     | passed  | 0.07201 seconds |
./spec/models/user_spec.rb[1:1:1]                                                          | passed  | 0.07202 seconds |
./spec/models/user_spec.rb[1:2]                                                            | passed  | 0.06794 seconds |
./spec/models/user_spec.rb[1:3]                                                            | passed  | 0.08097 seconds |
./spec/models/user_spec.rb[1:4]                                                            | passed  | 0.06572 seconds |
./spec/models/user_spec.rb[1:5]                                                            | passed  | 0.07058 seconds |
./spec/models/user_spec.rb[1:6]                                                            | passed  | 0.07278 seconds |
./spec/models/user_spec.rb[1:7]                                                            | passed  | 0.07263 seconds |
./spec/models/user_spec.rb[1:8]                                                            | passed  | 0.07084 seconds |
./spec/models/user_spec.rb[1:9]                                                            | passed  | 0.07044 seconds |
./spec/models/user_spec.rb[1:10]                                                           | passed  | 0.06642 seconds |
/Users/jorge/sites/rails/demanda/spec/middleware/price_modifiers/finder_spec.rb[1:1:1:1]   | unknown |                 |
/Users/jorge/sites/rails/demanda/spec/middleware/price_modifiers/finder_spec.rb[1:1:2:1:1] | unknown |                 |
/Users/jorge/sites/rails/demanda/spec/middleware/price_modifiers/finder_spec.rb[1:1:2:2:1] | unknown |                 |
/Users/jorge/sites/rails/demanda/spec/middleware/price_modifiers/finder_spec.rb[1:1:3:1]   | unknown |                 |
/Users/jorge/sites/rails/demanda/spec/middleware/price_modifiers/finder_spec.rb[1:1:3:2:1] | passed  | 0.31269 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:1:1]                          | passed  | 0.04138 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:2]                            | passed  | 0.03784 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:3]                            | passed  | 0.20096 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:4:1:1]                        | failed  | 0.04036 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:4:2:1]                        | failed  | 0.06038 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:4:3:1]                        | passed  | 0.03732 seconds |
/Users/jorge/sites/rails/demanda/spec/models/tax_spec.rb[1:1:4:4:1]                        | passed  | 0.04076 seconds |
